# this is a list of levels that i checked out during testing

[(0, 'sweethome'),
 (0, 'starrynight'),
 (0, 'metallus'),
 (0, "crispin's world"),
 (0, 'desert'),
 (0, 'aztec'),
 (2, '175'),
 (2, '172'),
 (2, '173'),
 (2, '349'),
 (2, '221'),
 (2, '226'),
 (2, '227'),
 (2, '224'),
 (2, '225'),
 (2, '228'),
 (2, '222'),
 (2, '348'),
 (2, '402'),
 (2, '406'),
 (2, '404'),
 (2, '405'),
 (2, '160'),
 (2, '163'),
 (2, '164'),
 (2, '167'),
 (2, '168'),
 (2, '44'),
 (2, '47'),
 (2, '46'),
 (2, '305'),
 (2, '304'),
 (2, '307'),
 (2, '303'),
 (2, '302'),
 (2, '309'),
 (2, '308'),
 (2, '271'),
 (2, '270'),
 (2, '275'),
 (2, '276'),
 (2, '373'),
 (2, '374'),
 (2, '375'),
 (2, '376'),
 (2, '377'),
 (2, '94'),
 (2, '285'),
 (2, '286'),
 (2, '287'),
 (2, '283'),
 (2, '129'),
 (2, '127'),
 (2, '122'),
 (2, '159'),
 (2, '151'),
 (2, '155'),
 (2, '157'),
 (2, '235'),
 (2, '237'),
 (2, '236'),
 (2, '231'),
 (2, '233'),
 (2, '232'),
 (2, '334'),
 (2, '337'),
 (2, '238'),
 (2, '141'),
 (2, '140'),
 (2, '147'),
 (2, '80'),
 (2, '240'),
 (2, '243'),
 (2, '244'),
 (2, '245'),
 (2, '247'),
 (2, '249'),
 (2, '263'),
 (2, '117'),
 (2, '118'),
 (2, '119'),
 (2, '56'),
 (2, '57'),
 (2, '55'),
 (2, '50'),
 (2, '209'),
 (2, '205'),
 (2, '206'),
 (2, '207'),
 (2, '200'),
 (2, '201'),
 (2, '203'),
 (2, '361'),
 (2, '360'),
 (2, '367'),
 (2, '366'),
 (2, '364'),
 (2, '293'),
 (2, '299'),
 (2, '298'),
 (2, '149'),
 (2, '148'),
 (2, '88'),
 (2, '87'),
 (2, '81'),
 (2, '67'),
 (2, '65'),
 (2, '63'),
 (2, '62'),
 (2, '61'),
 (2, '60'),
 (2, '69'),
 (2, '68'),
 (2, '329'),
 (2, '328'),
 (2, '326'),
 (2, '325'),
 (2, '324'),
 (2, '323'),
 (2, '322'),
 (2, '10'),
 (2, '16'),
 (2, '15'),
 (2, '18'),
 (2, '19'),
 (2, '253'),
 (2, '252'),
 (2, '399'),
 (2, '257'),
 (2, '256'),
 (2, '254'),
 (2, '392'),
 (2, '393'),
 (2, '259'),
 (2, '258'),
 (2, '397'),
 (2, '395'),
 (2, '199'),
 (2, '194'),
 (2, '196'),
 (2, '197'),
 (2, '192'),
 (2, '398'),
 (2, '106'),
 (2, '105'),
 (2, '104'),
 (2, '101'),
 (2, '100'),
